CABANG,PROPINSI,NO ORDER,TANGGAL,SUMBER,SERIES,HARGA JUAL,DISKON,JENIS BAYAR
FKH MAMUJU,SULAWESIBARAT,BTDMMJ220400053,2022-05-04,ONLINE,SCOOPY,23120000,20000,TUNAI
FKH SAMARINDA,KALIMANTANTIMUR,BTDSRI220400078,2022-05-04,OFFLINE,VARIO 160,30820000,0,TUNAI
FKH SUKABUMI,JAWABARAT,BTDSKB220400168,2022-05-04,OFFLINE,REVO,15300000,200000,TUNAI
FKH KLUNGKUNG,BALI,BTDKLG220500001,2022-05-06,OFFLINE,BEAT,17910000,0,TUNAI
FKH KLUNGKUNG,BALI,BTDKLG220500002,2022-05-04,OFFLINE,BEAT,17910000,0,TUNAI
FKH BANGLI,BALI,BTDBGL220400071,2022-05-04,OFFLINE,SCOOPY,22740000,0,TUNAI
FKH BANGLI,BALI,BTDBGL220400085,2022-05-04,OFFLINE,SCOOPY,22740000,0,TUNAI
FKH NEGARA,BALI,BTDNGR220500002,2022-05-04,OFFLINE,SCOOPY,22740000,0,TUNAI
FKH KLUNGKUNG,BALI,BTDKLG220400053,2022-05-04,ONLINE,SCOOPY,22740000,0,TUNAI
FKH KLUNGKUNG,BALI,BTDKLG220500003,2022-05-05,OFFLINE,SCOOPY,22740000,0,TUNAI
FKH KLUNGKUNG,BALI,BTDKLG220500004,2022-05-05,OFFLINE,SCOOPY,21940000,0,TUNAI
FKH KLUNGKUNG,BALI,BTDKLG220500005,2022-05-04,OFFLINE,SCOOPY,22740000,0,TUNAI
FKH BANGLI,BALI,BTDBGL220400079,2022-05-04,OFFLINE,SCOOPY,22740000,0,TUNAI
FKH PAGAR ALAM,SUMATERASELATAN,BTDPGA220500002,2022-05-04,OFFLINE,GENIO,20500000,500000,TUNAI
FKH BANGLI,BALI,BTDBGL220400060,2022-05-05,OFFLINE,VARIO 125,23130000,0,TUNAI
FKH DENPASAR,BALI,BTDDPR220500008,2022-05-04,OFFLINE,SCOOPY,22740000,0,TUNAI
FKH PANGKAL PINANG,KEPULAUANBANGKABELIT,BTDPGK220500001,2022-05-05,OFFLINE,VARIO 160,28174749,0,TUNAI
FKH PUTUSSIBAU,KALIMANTANBARAT,BTDPSU220500003,2022-05-05,OFFLINE,REVO,17180000,200000,TUNAI
FKH MALANG KOTA,JAWATIMUR,BTDMLG220500002,2022-05-05,OFFLINE,VARIO 160,30675000,600000,TUNAI
FKH KLUNGKUNG,BALI,BTDKLG220500007,2022-05-05,OFFLINE,PCX160,32200000,700000,TUNAI
FKH PUTUSSIBAU,KALIMANTANBARAT,BTDPSU220500007,2022-05-05,OFFLINE,GENIO,19970000,0,TUNAI
FKH ENDE SELATAN,NUSATENGGARATIMUR,BTDEDS220500001,2022-05-05,OFFLINE,SUPRA X 125,21281500,181500,TUNAI
FKH MAKASSAR,SULAWESISELATAN,BTDMKS220500006,2022-05-05,OFFLINE,BEAT,18880000,200000,TUNAI
FKH GORONTALO,GORONTALO,BTDGTO220500004,2022-05-06,OFFLINE,REVO,18800000,0,TUNAI
FKH MBAY,NUSATENGGARATIMUR,BTDMBY220500001,2022-05-05,OFFLINE,REVO,17003500,0,TUNAI
FKH PUTUSSIBAU,KALIMANTANBARAT,BTDPSU220500008,2022-05-05,ONLINE,REVO,18690000,0,TUNAI
FKH ANTANG,SULAWESISELATAN,BTDATG220500001,2022-05-07,OFFLINE,CB150R,30920000,820000,TUNAI
FKH ENDE SELATAN,NUSATENGGARATIMUR,BTDEDS220500002,2022-05-05,OFFLINE,VARIO 125,23801500,0,TUNAI
FKH TAMAFKHARI,KEPULAUANBANGKABELIT,BTDTMS220500002,2022-05-05,OFFLINE,VARIO 160,30590000,1000000,TUNAI
FKH PANGKAL PINANG,KEPULAUANBANGKABELIT,BTDPGK220500004,2022-05-06,OFFLINE,BEAT,19087000,630000,TUNAI
FKH KLUNGKUNG,BALI,BTDKLG220500011,2022-05-05,OFFLINE,PCX160,35500000,700000,TUNAI
FKH TANGERANG,BANTEN,BTDTGR220400383,2022-05-05,OFFLINE,PCX160,44860000,860000,TUNAI
FKH NEGARA,BALI,BTDNGR220500005,2022-05-06,OFFLINE,BEAT,18680000,0,TUNAI
FKH MATARAM,NUSATENGGARABARAT,BTDMTR220500001,2022-05-06,OFFLINE,PCX160,35380000,200000,TUNAI
FKH BANGLI,BALI,BTDBGL220500004,2022-05-06,OFFLINE,PCX160,35500000,300000,TUNAI
FKH AMUNTAI,KALIMANTANSELATAN,BTDAMT220500004,2022-05-06,OFFLINE,VARIO 160,26017000,17000,TUNAI
FKH DENPASAR,BALI,BTDDPR220500015,2022-05-06,OFFLINE,VARIO 160,29300000,0,TUNAI
FKH DENPASAR,BALI,BTDDPR220500016,2022-05-06,OFFLINE,VARIO 160,29300000,0,TUNAI
FKH TANJUNG,KALIMANTANSELATAN,BTDTJG220500004,2022-05-05,OFFLINE,PCX160,31817000,0,TUNAI
FKH BULULAWANG,JAWATIMUR,BTDBLW220500003,2022-05-05,OFFLINE,VARIO 160,30460000,600000,TUNAI
FKH WAIKABUBAK,NUSATENGGARATIMUR,BTDWKB220500006,2022-05-06,OFFLINE,SUPRA X 125,21768000,0,TUNAI
FKH MBAY,NUSATENGGARATIMUR,BTDMBY220500002,2022-05-06,OFFLINE,SUPRA X 125,21281500,0,TUNAI
FKH UNAHA,SULAWESITENGGARA,BTDUNH220500002,2022-05-10,OFFLINE,REVO,19740000,350000,TUNAI
FKH DENPASAR,BALI,BTDDPR220500018,2022-05-06,OFFLINE,VARIO 150,25040000,500000,TUNAI
FKH PONTIANAK,KALIMANTANBARAT,BTDPNK220500009,2022-05-06,OFFLINE,VARIO 160,29880000,830000,TUNAI
FKH NUNUKAN,KALIMANTANUTARA,BTDNUK220500007,2022-05-06,OFFLINE,PCX160,34340000,530000,TUNAI
FKH BANGLI,BALI,BTDBGL220400080,2022-05-06,ONLINE,VARIO 160,26580000,200000,TUNAI
FKH MAKALE,SULAWESISELATAN,BTDMKL220500007,2022-05-07,ONLINE,SUPRAX125,20170000,499000,TUNAI
FKH NEGARA,BALI,BTDNGR220500007,2022-05-06,OFFLINE,SCOOPY,21940000,0,TUNAI
FKH BANJARMASIN,KALIMANTANSELATAN,BTDBJM220500007,2022-05-07,OFFLINE,VARIO 160,28717000,300000,TUNAI
FKH NEGARA,BALI,BTDNGR220500009,2022-05-07,OFFLINE,PCX160,35500000,400000,TUNAI
FKH NEGARA,BALI,BTDNGR220500008,2022-05-07,OFFLINE,SCOOPY,21940000,0,TUNAI
FKH SUKABUMI,JAWABARAT,BTDSKB220500021,2022-05-06,ONLINE,SONIC 150R,23325000,500000,TUNAI
FKH BALIKPAPAN,KALIMANTANTIMUR,BTDBPN220500004,2022-05-06,OFFLINE,REVO,18650000,400000,TUNAI
FKH NANGA PINOH,KALIMANTANBARAT,BTDNPH220500010,2022-05-07,OFFLINE,CB150R,31530000,450000,TUNAI
FKH BONE,SULAWESISELATAN,BTDBNE220500018,2022-05-07,OFFLINE,CRF150L,35580000,300000,TUNAI
FKH MATARAM BARU,LAMPUNG,BTDMRB220500001,2022-05-10,ONLINE,PCX160,35805500,250000,TUNAI
FKH RANGKUI,KEPULAUANBANGKABELIT,BTDRKI220500002,2022-05-07,OFFLINE,BEAT,19087000,87000,TUNAI
FKH MAKALE,SULAWESISELATAN,BTDMKL220500010,2022-05-07,ONLINE,REVO,16520000,200000,TUNAI
FKH MANDONGA KORUMBA,SULAWESITENGGARA,BTDKDA220500004,2022-05-07,OFFLINE,REVO,19130000,200000,TUNAI
FKH KAPUAS,KALIMANTANTENGAH,BTDPUA220500015,2022-05-09,OFFLINE,CB150R,31175000,475000,TUNAI
FKH PONTIANAK,KALIMANTANBARAT,BTDPNK220500010,2022-05-09,OFFLINE,GENIO,20230000,200000,TUNAI
FKH SUNGAI LIAT,KEPULAUANBANGKABELIT,BTDSNL220500011,2022-05-09,OFFLINE,VARIO 160,28174749,150000,TUNAI
FKH KARAWANG,JAWABARAT,BTDKRW220500010,2022-05-09,OFFLINE,VARIO 160,26250000,200000,TUNAI
FKH CIANJUR,JAWABARAT,BTDCJR220500001,2022-05-10,OFFLINE,BEAT,18300000,200000,TUNAI
FKH SURABAYA,JAWATIMUR,BTDSBY220500008,2022-05-09,OFFLINE,CB150X,33905000,349000,TUNAI
FKH UNAHA,SULAWESITENGGARA,BTDUNH220500007,2022-05-10,OFFLINE,REVO,19740000,150000,TUNAI
FKH SAROLANGUN,JAMBI,BTDSRO220500007,2022-05-09,OFFLINE,SUPRAX125,18865000,200000,TUNAI
FKH SURABAYA,JAWATIMUR,BTDSBY220500010,2022-05-09,OFFLINE,REVO,18285000,500000,TUNAI
FKH JAMBI,JAMBI,BTDJMB220500014,2022-05-09,OFFLINE,VARIO 160,25060000,230000,TUNAI
FKH SINTANG,KALIMANTANBARAT,BTDSTG220500013,2022-05-09,OFFLINE,VARIO 160,30180000,400000,TUNAI
FKH MAKALE,SULAWESISELATAN,BTDMKL220500020,2022-05-09,OFFLINE,REVO,16520000,500000,TUNAI
FKH JAMBI SELATAN,JAMBI,BTDJMS220500001,2022-05-10,OFFLINE,CBR 150R,39855000,900000,TUNAI
FKH ENDE SELATAN,NUSATENGGARATIMUR,BTDEDS220500003,2022-05-09,OFFLINE,VARIO 150,26453500,53500,TUNAI
FKH ROTE,NUSATENGGARATIMUR,BTDRTE220500005,2022-05-09,OFFLINE,VARIO 125,23661000,0,TUNAI
FKH BULULAWANG,JAWATIMUR,BTDBLW220500008,2022-05-09,OFFLINE,CBR 150R,37896000,1000000,TUNAI
FKH PANGKAL PINANG,KEPULAUANBANGKABELIT,BTDPGK220500013,2022-05-09,OFFLINE,VARIO 160,30590000,0,TUNAI
FKH AMUNTAI,KALIMANTANSELATAN,BTDAMT220500014,2022-05-09,OFFLINE,VARIO 160,29006000,6000,TUNAI
FKH AMUNTAI TENGAH,KALIMANTANSELATAN,BTDATT220500006,2022-05-09,OFFLINE,VARIO 125,23356000,0,TUNAI
FKH TAMAFKHARI,KEPULAUANBANGKABELIT,BTDTMS220500005,2022-05-10,OFFLINE,ADV 150,40095000,1000000,TUNAI
FKH SURABAYA,JAWATIMUR,BTDSBY220500005,2022-05-09,OFFLINE,VARIO 160,27436000,600000,TUNAI
FKH NUNUKAN,KALIMANTANUTARA,BTDNUK220500015,2022-05-09,OFFLINE,BEAT,19510000,0,TUNAI
FKH MALANG KOTA,JAWATIMUR,BTDMLG220500008,2022-05-09,OFFLINE,VARIO 160,27656000,200000,TUNAI
FKH MADIUN,JAWATIMUR,BTDMDN220500008,2022-05-10,OFFLINE,CB150R,31891000,600000,TUNAI
FKH PONTIANAK,KALIMANTANBARAT,BTDPNK220500015,2022-05-10,OFFLINE,SUPRAX125,20700000,500000,TUNAI
FKH ENDE SELATAN,NUSATENGGARATIMUR,BTDEDS220500004,2022-05-10,OFFLINE,VARIO 125,23854500,0,TUNAI
FKH CIANJUR,JAWABARAT,BTDCJR220500011,2022-05-10,OFFLINE,VARIO 160,26000000,800000,TUNAI
FKH SAMARINDA,KALIMANTANTIMUR,BTDSRI220500015,2022-05-10,OFFLINE,REVO,18580000,0,TUNAI
FKH PANGKAL PINANG,KEPULAUANBANGKABELIT,BTDPGK220500018,2022-05-11,OFFLINE,GENIO,20658000,108000,TUNAI
FKH PALEMBANG,SUMATERASELATAN,BTDPLM220500021,2022-05-10,OFFLINE,CRF150L,36220000,300000,TUNAI
FKH MBAY,NUSATENGGARATIMUR,BTDMBY220500003,2022-05-10,OFFLINE,SONIC 150R,26348500,0,TUNAI
FKH AMUNTAI,KALIMANTANSELATAN,BTDAMT220500020,2022-05-10,OFFLINE,PCX160,31924000,0,TUNAI
FKH SUNGAI LIAT,KEPULAUANBANGKABELIT,BTDSNL220500016,2022-05-10,OFFLINE,VARIO 160,28174750,174750,TUNAI
FKH MALINAU,KALIMANTANUTARA,BTDMLU220500011,2022-05-10,OFFLINE,VARIO 160,30970000,0,TUNAI
FKH SUNGAI LIAT,KEPULAUANBANGKABELIT,BTDSNL220500015,2022-05-10,OFFLINE,VARIO 160,28174749,175000,TUNAI
FKH BELOPA,SULAWESISELATAN,BTDPLP220500024,2022-05-10,OFFLINE,REVO,18140000,500000,TUNAI
FKH SANGATTA UTARA,KALIMANTANTIMUR,BTDSGT220500015,2022-05-11,OFFLINE,BEAT,18960000,0,TUNAI
FKH SLIPI,DKIJAKARTA,BTDSLP220500046,2022-05-11,OFFLINE,SUPRAX125,20088000,550000,TUNAI
FKH MANGGAR,KEPULAUANBANGKABELIT,BTDMGR220500018,2022-05-12,OFFLINE,BEAT,20560000,0,TUNAI
FKH SLIPI,DKIJAKARTA,BTDSLP220500045,2022-05-11,OFFLINE,REVO,15809000,300000,TUNAI
FKH SUKARAMI,SUMATERASELATAN,BTDSKM220500020,2022-05-11,OFFLINE,CRF150L,36220000,350000,TUNAI
